line_id,period,metric,value
11,2020-Q3,quantity_index,103.948000
26,2020-Q3,quantity_index,102.571000
27,2020-Q3,quantity_index,87.348000
28,2020-Q3,quantity_index,105.056000
12,2020-Q3,quantity_index,103.844000
25,2020-Q3,quantity_index,105.580000
14,2020-Q3,quantity_index,108.877000
29,2020-Q3,quantity_index,123.277000
30,2020-Q3,quantity_index,84.033000
31,2020-Q3,quantity_index,77.609000
32,2020-Q3,quantity_index,115.182000
33,2020-Q3,quantity_index,101.028000
15,2020-Q3,quantity_index,102.838000
16,2020-Q3,quantity_index,129.059000
17,2020-Q3,quantity_index,92.201000
18,2020-Q3,quantity_index,93.115000
19,2020-Q3,quantity_index,112.061000
20,2020-Q3,quantity_index,90.040000
21,2020-Q3,quantity_index,111.350000
22,2020-Q3,quantity_index,92.529000
23,2020-Q3,quantity_index,94.551000
24,2020-Q3,quantity_index,104.767000
13,2020-Q3,quantity_index,102.487000
34,2020-Q3,quantity_index,105.864000
36,2020-Q3,quantity_index,95.791000
37,2020-Q3,quantity_index,110.681000
35,2020-Q3,quantity_index,108.486000
38,2020-Q3,quantity_index,115.869000
41,2020-Q3,quantity_index,36.747000
42,2020-Q3,quantity_index,84.997000
43,2020-Q3,quantity_index,86.329000
44,2020-Q3,quantity_index,99.988000
45,2020-Q3,quantity_index,94.166000
46,2020-Q3,quantity_index,81.423000
47,2020-Q3,quantity_index,130.241000
40,2020-Q3,quantity_index,94.811000
48,2020-Q3,quantity_index,133.447000
39,2020-Q3,quantity_index,111.149000
49,2020-Q3,quantity_index,124.277000
50,2020-Q3,quantity_index,135.712000
51,2020-Q3,quantity_index,82.082000
52,2020-Q3,quantity_index,109.970000
53,2020-Q3,quantity_index,163.041000
55,2020-Q3,quantity_index,103.421000
56,2020-Q3,quantity_index,108.110000
57,2020-Q3,quantity_index,94.063000
58,2020-Q3,quantity_index,103.792000
59,2020-Q3,quantity_index,2.748000
60,2020-Q3,quantity_index,107.503000
61,2020-Q3,quantity_index,106.604000
64,2020-Q3,quantity_index,117.731000
66,2020-Q3,quantity_index,114.487000
67,2020-Q3,quantity_index,93.384000
69,2020-Q3,quantity_index,113.852000
68,2020-Q3,quantity_index,135.753000
70,2020-Q3,quantity_index,115.084000
71,2020-Q3,quantity_index,102.321000
72,2020-Q3,quantity_index,102.454000
73,2020-Q3,quantity_index,100.732000
74,2020-Q3,quantity_index,105.607000
75,2020-Q3,quantity_index,96.625000
76,2020-Q3,quantity_index,107.135000
77,2020-Q3,quantity_index,109.001000
78,2020-Q3,quantity_index,107.464000
79,2020-Q3,quantity_index,95.807000
80,2020-Q3,quantity_index,109.180000
81,2020-Q3,quantity_index,77.244000
82,2020-Q3,quantity_index,67.934000
83,2020-Q3,quantity_index,63.054000
84,2020-Q3,quantity_index,74.536000
85,2020-Q3,quantity_index,80.462000
86,2020-Q3,quantity_index,80.949000
87,2020-Q3,quantity_index,80.630000
88,2020-Q3,quantity_index,95.659000
54,2020-Q3,quantity_index,105.968000
1,2020-Q3,quantity_index,104.828000
65,2020-Q3,quantity_index,111.496000
2,2020-Q3,quantity_index,105.573000
3,2020-Q4,quantity_index,106.417000
4,2020-Q4,quantity_index,102.354000
5,2020-Q4,quantity_index,119.855000
6,2020-Q4,quantity_index,110.596000
7,2020-Q4,quantity_index,124.218000
8,2020-Q4,quantity_index,108.895000
9,2020-Q4,quantity_index,80.324000
10,2020-Q4,quantity_index,104.358000
11,2020-Q4,quantity_index,105.221000
26,2020-Q4,quantity_index,106.234000
27,2020-Q4,quantity_index,93.326000
28,2020-Q4,quantity_index,102.117000
12,2020-Q4,quantity_index,105.927000
25,2020-Q4,quantity_index,107.622000
14,2020-Q4,quantity_index,105.907000
29,2020-Q4,quantity_index,125.919000
30,2020-Q4,quantity_index,88.283000
31,2020-Q4,quantity_index,72.650000
32,2020-Q4,quantity_index,117.629000
33,2020-Q4,quantity_index,103.099000
15,2020-Q4,quantity_index,105.358000
16,2020-Q4,quantity_index,128.406000
17,2020-Q4,quantity_index,95.476000
18,2020-Q4,quantity_index,97.625000
19,2020-Q4,quantity_index,116.862000
20,2020-Q4,quantity_index,93.150000
21,2020-Q4,quantity_index,109.438000
22,2020-Q4,quantity_index,90.909000
23,2020-Q4,quantity_index,100.980000
24,2020-Q4,quantity_index,108.682000
13,2020-Q4,quantity_index,104.646000
34,2020-Q4,quantity_index,104.594000
36,2020-Q4,quantity_index,91.452000
37,2020-Q4,quantity_index,107.163000
35,2020-Q4,quantity_index,106.193000
38,2020-Q4,quantity_index,111.674000
41,2020-Q4,quantity_index,43.318000
42,2020-Q4,quantity_index,87.732000
43,2020-Q4,quantity_index,103.492000
44,2020-Q4,quantity_index,99.885000
45,2020-Q4,quantity_index,102.405000
46,2020-Q4,quantity_index,80.551000
47,2020-Q4,quantity_index,126.830000
40,2020-Q4,quantity_index,97.407000
48,2020-Q4,quantity_index,143.404000
39,2020-Q4,quantity_index,110.350000
49,2020-Q4,quantity_index,125.949000
50,2020-Q4,quantity_index,139.557000
51,2020-Q4,quantity_index,82.501000
52,2020-Q4,quantity_index,109.294000
53,2020-Q4,quantity_index,168.059000
55,2020-Q4,quantity_index,107.090000
56,2020-Q4,quantity_index,114.307000
57,2020-Q4,quantity_index,98.619000
58,2020-Q4,quantity_index,104.287000
59,2020-Q4,quantity_index,10.749000
60,2020-Q4,quantity_index,108.160000
61,2020-Q4,quantity_index,107.177000
64,2020-Q4,quantity_index,119.351000
66,2020-Q4,quantity_index,116.810000
67,2020-Q4,quantity_index,97.402000
69,2020-Q4,quantity_index,114.994000
68,2020-Q4,quantity_index,139.809000
70,2020-Q4,quantity_index,123.403000
71,2020-Q4,quantity_index,106.151000
72,2020-Q4,quantity_index,106.540000
73,2020-Q4,quantity_index,102.168000
74,2020-Q4,quantity_index,106.970000
75,2020-Q4,quantity_index,93.111000
76,2020-Q4,quantity_index,109.332000
77,2020-Q4,quantity_index,113.262000
78,2020-Q4,quantity_index,108.351000
79,2020-Q4,quantity_index,96.337000
80,2020-Q4,quantity_index,107.507000
81,2020-Q4,quantity_index,78.716000
82,2020-Q4,quantity_index,77.196000
83,2020-Q4,quantity_index,78.848000
84,2020-Q4,quantity_index,74.891000
85,2020-Q4,quantity_index,79.251000
86,2020-Q4,quantity_index,71.541000
87,2020-Q4,quantity_index,81.978000
88,2020-Q4,quantity_index,95.116000
54,2020-Q4,quantity_index,107.762000
1,2020-Q4,quantity_index,106.016000
65,2020-Q4,quantity_index,115.052000
